11060		CHEM100F		3		1
11061		CHEM101F		4		0
11065		CHEM111F		5		0
11066		CHEM111F		5		0
10732		CSCI123F		4		0
10736		CSCI123F		4		0
10738		CSCI123F		4		0
10740		CSCI133F		4		0
10742		CSCI133F		4		0
10746		CSCI223F		5		0
10750		CSCI241F		5		0
14042		ENGL060F		3		0
14044		ENGL060F		3		0
10814		ENGL100F		4		0
10815		ENGL100F		4		0
10816		ENGL100F		4		0
11827		MATH020F		3		0
11828		MATH020F		3		0
11847		MATH040F		4		0
11848		MATH040F		4		0
11857		MATH120F		4		0
11858		MATH120F		4		0
11866		MATH150AF		5		0
11867		MATH150AF		5		0
11868		MATH150BF		5		0
11877		MATH250AF		3		0
11878		MATH250BF		3		0
11000		HIST110F		3		0
11001		HIST111F		3		0
11002		HIST112F		3		0
